Problem size:
            MT: 32
            MX: 16
            MY: 16
            NP: 30000

                  num Nodes   CPU tot  Wall tot
===============================================
mainTimer...........      1     67.18     85.14

                  num Nodes   CPU max  Wall max   CPU min  Wall min   CPU avg  Wall avg
=======================================================================================
mainTimer...........      1     67.18     85.14     67.18     85.14     67.18     85.14
Binaryrepart........      1         0         0         0         0         0         0
Boundingbox.........      1      0.92    0.8897      0.92    0.8897      0.92    0.8897
Boundingbox-bounds..      1      0.29    0.2491      0.29    0.2491      0.29    0.2491
Boundingbox-update..      1      0.63    0.6255      0.63    0.6255      0.63    0.6255
Compute Statistics..      1      9.96     10.17      9.96     10.17      9.96     10.17
ComputePotential....      1     12.57     12.59     12.57     12.59     12.57     12.59
Create Distr........      1      0.01  0.008974      0.01  0.008974      0.01  0.008974
External field eval.      1     11.75     12.42     11.75     12.42     11.75     12.42
Fast inside test....      1         0         0         0         0         0         0
Histogram...........      1         0         0         0         0         0         0
Initialize geometry.      1         0         0         0         0         0         0
Inside test.........      1         0         0         0         0         0         0
Load Distr..........      1         0         0         0         0         0         0
Particle Inside.....      1         0         0         0         0         0         0
Ray tracing.........      1         0         0         0         0         0         0
SelfField total.....      1     31.01     30.71     31.01     30.71     31.01     30.71
SF: GreensFTotal....      1      8.88     9.206      8.88     9.206      8.88     9.206
TIntegration1.......      1      1.32     1.486      1.32     1.486      1.32     1.486
TIntegration2.......      1       3.8     3.679       3.8     3.679       3.8     3.679
WakeField...........      1         0         0         0         0         0         0
Write H5-File.......      1      1.54     18.72      1.54     18.72      1.54     18.72
Write Stat..........      1      0.32     0.474      0.32     0.474      0.32     0.474
