Problem size:
            MT: 32
            MX: 16
            MY: 16
            NP: 30000

                  num Nodes   CPU tot  Wall tot
===============================================
mainTimer...........      1     67.54     88.47

                  num Nodes   CPU max  Wall max   CPU min  Wall min   CPU avg  Wall avg
=======================================================================================
mainTimer...........      1     67.54     88.47     67.54     88.47     67.54     88.47
Binaryrepart........      1         0         0         0         0         0         0
Boundingbox.........      1      0.81      0.89      0.81      0.89      0.81      0.89
Boundingbox-bounds..      1      0.29    0.2485      0.29    0.2485      0.29    0.2485
Boundingbox-update..      1      0.49    0.6265      0.49    0.6265      0.49    0.6265
Compute Statistics..      1     10.37     10.23     10.37     10.23     10.37     10.23
ComputePotential....      1     12.78     12.67     12.78     12.67     12.78     12.67
Create Distr........      1         0  0.009133         0  0.009133         0  0.009133
External field eval.      1     12.66     12.58     12.66     12.58     12.66     12.58
Fast inside test....      1         0         0         0         0         0         0
Histogram...........      1         0         0         0         0         0         0
Initialize geometry.      1         0         0         0         0         0         0
Inside test.........      1         0         0         0         0         0         0
Load Distr..........      1         0         0         0         0         0         0
Particle Inside.....      1         0         0         0         0         0         0
Ray tracing.........      1         0         0         0         0         0         0
SelfField total.....      1     30.91      30.9     30.91      30.9     30.91      30.9
SF: GreensFTotal....      1      9.34     9.255      9.34     9.255      9.34     9.255
TIntegration1.......      1       1.4     1.513       1.4     1.513       1.4     1.513
TIntegration2.......      1      3.59     3.695      3.59     3.695      3.59     3.695
WakeField...........      1         0         0         0         0         0         0
Write H5-File.......      1      1.63     18.54      1.63     18.54      1.63     18.54
Write Stat..........      1      0.39     3.422      0.39     3.422      0.39     3.422
