Problem size:
            MT: 32
            MX: 16
            MY: 16
            NP: 30000

                  num Nodes   CPU tot  Wall tot
===============================================
mainTimer...........      1     68.03     85.41

                  num Nodes   CPU max  Wall max   CPU min  Wall min   CPU avg  Wall avg
=======================================================================================
mainTimer...........      1     68.03     85.41     68.03     85.41     68.03     85.41
Binaryrepart........      1         0         0         0         0         0         0
Boundingbox.........      1      0.96    0.8935      0.96    0.8935      0.96    0.8935
Boundingbox-bounds..      1      0.26    0.2494      0.26    0.2494      0.26    0.2494
Boundingbox-update..      1      0.68    0.6294      0.68    0.6294      0.68    0.6294
Compute Statistics..      1     10.33     10.27     10.33     10.27     10.33     10.27
ComputePotential....      1     12.75     12.67     12.75     12.67     12.75     12.67
Create Distr........      1      0.01  0.008968      0.01  0.008968      0.01  0.008968
External field eval.      1     12.97     12.53     12.97     12.53     12.97     12.53
Fast inside test....      1         0         0         0         0         0         0
Histogram...........      1         0         0         0         0         0         0
Initialize geometry.      1         0         0         0         0         0         0
Inside test.........      1         0         0         0         0         0         0
Load Distr..........      1         0         0         0         0         0         0
Particle Inside.....      1         0         0         0         0         0         0
Ray tracing.........      1         0         0         0         0         0         0
SelfField total.....      1     30.25      30.8     30.25      30.8     30.25      30.8
SF: GreensFTotal....      1      9.62     9.254      9.62     9.254      9.62     9.254
TIntegration1.......      1      1.55     1.488      1.55     1.488      1.55     1.488
TIntegration2.......      1      3.61      3.69      3.61      3.69      3.61      3.69
WakeField...........      1         0         0         0         0         0         0
Write H5-File.......      1      1.54     18.36      1.54     18.36      1.54     18.36
Write Stat..........      1      0.35    0.3678      0.35    0.3678      0.35    0.3678
