Problem size:
            MT: 32
            MX: 16
            MY: 16
            NP: 30000

                  num Nodes   CPU tot  Wall tot
===============================================
mainTimer...........      1     66.48     88.11

                  num Nodes   CPU max  Wall max   CPU min  Wall min   CPU avg  Wall avg
=======================================================================================
mainTimer...........      1     66.48     88.11     66.48     88.11     66.48     88.11
Binaryrepart........      1         0         0         0         0         0         0
Boundingbox.........      1      0.83    0.8852      0.83    0.8852      0.83    0.8852
Boundingbox-bounds..      1      0.26    0.2466      0.26    0.2466      0.26    0.2466
Boundingbox-update..      1      0.57     0.624      0.57     0.624      0.57     0.624
Compute Statistics..      1      9.96     10.28      9.96     10.28      9.96     10.28
ComputePotential....      1     12.56     12.65     12.56     12.65     12.56     12.65
Create Distr........      1      0.01  0.009922      0.01  0.009922      0.01  0.009922
External field eval.      1      12.7      12.5      12.7      12.5      12.7      12.5
Fast inside test....      1         0         0         0         0         0         0
Histogram...........      1         0         0         0         0         0         0
Initialize geometry.      1         0         0         0         0         0         0
Inside test.........      1         0         0         0         0         0         0
Load Distr..........      1         0         0         0         0         0         0
Particle Inside.....      1         0         0         0         0         0         0
Ray tracing.........      1         0         0         0         0         0         0
SelfField total.....      1      30.8      30.8      30.8      30.8      30.8      30.8
SF: GreensFTotal....      1      9.24      9.23      9.24      9.23      9.24      9.23
TIntegration1.......      1      1.64     1.497      1.64     1.497      1.64     1.497
TIntegration2.......      1      3.71     3.692      3.71     3.692      3.71     3.692
WakeField...........      1         0         0         0         0         0         0
Write H5-File.......      1      1.56     21.11      1.56     21.11      1.56     21.11
Write Stat..........      1      0.33    0.3531      0.33    0.3531      0.33    0.3531
