Problem size:
            MT: 32
            MX: 16
            MY: 16
            NP: 30000

                  num Nodes   CPU tot  Wall tot
===============================================
mainTimer...........      1     67.89     88.07

                  num Nodes   CPU max  Wall max   CPU min  Wall min   CPU avg  Wall avg
=======================================================================================
mainTimer...........      1     67.89     88.07     67.89     88.07     67.89     88.07
Binaryrepart........      1         0         0         0         0         0         0
Boundingbox.........      1      0.82    0.8897      0.82    0.8897      0.82    0.8897
Boundingbox-bounds..      1      0.25    0.2487      0.25    0.2487      0.25    0.2487
Boundingbox-update..      1      0.55    0.6268      0.55    0.6268      0.55    0.6268
Compute Statistics..      1     10.69     10.31     10.69     10.31     10.69     10.31
ComputePotential....      1     13.22     12.63     13.22     12.63     13.22     12.63
Create Distr........      1      0.01  0.009074      0.01  0.009074      0.01  0.009074
External field eval.      1     12.79     12.42     12.79     12.42     12.79     12.42
Fast inside test....      1         0         0         0         0         0         0
Histogram...........      1         0         0         0         0         0         0
Initialize geometry.      1         0         0         0         0         0         0
Inside test.........      1         0         0         0         0         0         0
Load Distr..........      1         0         0         0         0         0         0
Particle Inside.....      1         0         0         0         0         0         0
Ray tracing.........      1         0         0         0         0         0         0
SelfField total.....      1     30.29      30.7     30.29      30.7     30.29      30.7
SF: GreensFTotal....      1      9.39     9.254      9.39     9.254      9.39     9.254
TIntegration1.......      1      1.63     1.514      1.63     1.514      1.63     1.514
TIntegration2.......      1      3.73      3.68      3.73      3.68      3.73      3.68
WakeField...........      1         0         0         0         0         0         0
Write H5-File.......      1      1.64     21.06      1.64     21.06      1.64     21.06
Write Stat..........      1      0.37      0.39      0.37      0.39      0.37      0.39
