Problem size:
            MT: 32
            MX: 16
            MY: 16
            NP: 30000

                  num Nodes   CPU tot  Wall tot
===============================================
mainTimer...........      1     65.98     83.52

                  num Nodes   CPU max  Wall max   CPU min  Wall min   CPU avg  Wall avg
=======================================================================================
mainTimer...........      1     65.98     83.52     65.98     83.52     65.98     83.52
Binaryrepart........      1         0         0         0         0         0         0
Boundingbox.........      1       0.9    0.8888       0.9    0.8888       0.9    0.8888
Boundingbox-bounds..      1      0.26     0.249      0.26     0.249      0.26     0.249
Boundingbox-update..      1      0.63    0.6251      0.63    0.6251      0.63    0.6251
Compute Statistics..      1     10.12     10.17     10.12     10.17     10.12     10.17
ComputePotential....      1     12.57     12.61     12.57     12.61     12.57     12.61
Create Distr........      1      0.01  0.009016      0.01  0.009016      0.01  0.009016
External field eval.      1     12.66     12.45     12.66     12.45     12.66     12.45
Fast inside test....      1         0         0         0         0         0         0
Histogram...........      1         0         0         0         0         0         0
Initialize geometry.      1         0         0         0         0         0         0
Inside test.........      1         0         0         0         0         0         0
Load Distr..........      1         0         0         0         0         0         0
Particle Inside.....      1         0         0         0         0         0         0
Ray tracing.........      1         0         0         0         0         0         0
SelfField total.....      1     30.68     30.73     30.68     30.73     30.68     30.73
SF: GreensFTotal....      1      9.01      9.22      9.01      9.22      9.01      9.22
TIntegration1.......      1      1.41     1.498      1.41     1.498      1.41     1.498
TIntegration2.......      1      3.61     3.688      3.61     3.688      3.61     3.688
WakeField...........      1         0         0         0         0         0         0
Write H5-File.......      1      1.46     18.03      1.46     18.03      1.46     18.03
Write Stat..........      1      0.46    0.5683      0.46    0.5683      0.46    0.5683
