Problem size:
            MT: 32
            MX: 16
            MY: 16
            NP: 30000

                  num Nodes   CPU tot  Wall tot
===============================================
mainTimer...........      1     65.83     86.29

                  num Nodes   CPU max  Wall max   CPU min  Wall min   CPU avg  Wall avg
=======================================================================================
mainTimer...........      1     65.83     86.29     65.83     86.29     65.83     86.29
Binaryrepart........      1         0         0         0         0         0         0
Boundingbox.........      1      0.84    0.8878      0.84    0.8878      0.84    0.8878
Boundingbox-bounds..      1      0.23    0.2472      0.23    0.2472      0.23    0.2472
Boundingbox-update..      1      0.59    0.6254      0.59    0.6254      0.59    0.6254
Compute Statistics..      1     10.38      10.2     10.38      10.2     10.38      10.2
ComputePotential....      1     12.44     12.65     12.44     12.65     12.44     12.65
Create Distr........      1      0.02  0.009028      0.02  0.009028      0.02  0.009028
External field eval.      1     12.79     12.47     12.79     12.47     12.79     12.47
Fast inside test....      1         0         0         0         0         0         0
Histogram...........      1         0         0         0         0         0         0
Initialize geometry.      1         0         0         0         0         0         0
Inside test.........      1         0         0         0         0         0         0
Load Distr..........      1         0         0         0         0         0         0
Particle Inside.....      1         0         0         0         0         0         0
Ray tracing.........      1         0         0         0         0         0         0
SelfField total.....      1     30.59     30.83     30.59     30.83     30.59     30.83
SF: GreensFTotal....      1      8.98     9.233      8.98     9.233      8.98     9.233
TIntegration1.......      1      1.52     1.529      1.52     1.529      1.52     1.529
TIntegration2.......      1       3.4     3.696       3.4     3.696       3.4     3.696
WakeField...........      1         0         0         0         0         0         0
Write H5-File.......      1       1.5     21.25       1.5     21.25       1.5     21.25
Write Stat..........      1      0.31    0.3493      0.31    0.3493      0.31    0.3493
