Problem size:
            MT: 32
            MX: 16
            MY: 16
            NP: 30000

                  num Nodes   CPU tot  Wall tot
===============================================
mainTimer...........      1     67.05     84.07

                  num Nodes   CPU max  Wall max   CPU min  Wall min   CPU avg  Wall avg
=======================================================================================
mainTimer...........      1     67.05     84.07     67.05     84.07     67.05     84.07
Binaryrepart........      1         0         0         0         0         0         0
Boundingbox.........      1      0.83     0.887      0.83     0.887      0.83     0.887
Boundingbox-bounds..      1      0.32    0.2471      0.32    0.2471      0.32    0.2471
Boundingbox-update..      1      0.51    0.6255      0.51    0.6255      0.51    0.6255
Compute Statistics..      1     10.35     10.18     10.35     10.18     10.35     10.18
ComputePotential....      1     12.29     12.64     12.29     12.64     12.29     12.64
Create Distr........      1      0.01  0.008836      0.01  0.008836      0.01  0.008836
External field eval.      1     12.48     12.49     12.48     12.49     12.48     12.49
Fast inside test....      1         0         0         0         0         0         0
Histogram...........      1         0         0         0         0         0         0
Initialize geometry.      1         0         0         0         0         0         0
Inside test.........      1         0         0         0         0         0         0
Load Distr..........      1         0         0         0         0         0         0
Particle Inside.....      1         0         0         0         0         0         0
Ray tracing.........      1         0         0         0         0         0         0
SelfField total.....      1     30.86     30.76     30.86     30.76     30.86     30.76
SF: GreensFTotal....      1       9.2     9.233       9.2     9.233       9.2     9.233
TIntegration1.......      1      1.26     1.485      1.26     1.485      1.26     1.485
TIntegration2.......      1      3.39     3.691      3.39     3.691      3.39     3.691
WakeField...........      1         0         0         0         0         0         0
Write H5-File.......      1       1.6     17.64       1.6     17.64       1.6     17.64
Write Stat..........      1      0.25    0.4293      0.25    0.4293      0.25    0.4293
